"","tailnum","year_plane","type","manufacturer","model","engines","seats","speed","engine"
"1","N10156",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"2","N10575",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"3","N11106",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"4","N11107",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"5","N11109",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"6","N11113",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"7","N11119",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"8","N11121",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"9","N11127",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"10","N11137",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"11","N11140",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"12","N11150",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"13","N11155",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"14","N11164",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"15","N11165",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"16","N11176",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"17","N11181",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"18","N11184",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"19","N11187",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"20","N11189",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"21","N11191",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"22","N11192",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"23","N11193",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"24","N11194",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"25","N11199",2006,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"26","N11206",2000,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"27","N11535",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"28","N11536",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"29","N11539",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"30","N11544",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"31","N11547",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"32","N11548",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"33","N11551",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"34","N11565",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"35","N1200K",1998,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"36","N1201P",1998,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"37","N12109",1994,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-jet"
"38","N12114",1995,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-jet"
"39","N12116",1996,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-jet"
"40","N12122",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"41","N12125",1998,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-jet"
"42","N12126",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"43","N12135",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"44","N12136",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"45","N12142",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"46","N12145",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"47","N12157",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"48","N12160",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"49","N12163",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"50","N12166",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"51","N12167",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"52","N12172",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"53","N12175",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"54","N12195",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"55","N121DE",1987,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"56","N12201",2006,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"57","N12216",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"58","N12218",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"59","N12221",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"60","N12225",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"61","N12238",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"62","N12540",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"63","N12552",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"64","N12563",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"65","N12564",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"66","N12567",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"67","N12569",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
